1;Non-Equal Gradable;not match
1;Equative;same as
1;Non-Equal Gradable;cannot compete with
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;compare to
1;Non-Equal Gradable;cannot
1;Non-Equal Gradable;cannot compare
1;Non-Equal Gradable;in comparison
0;Non-Gradable;None
1;Superlative;biggest
1;Non-Equal Gradable;ahead of
1;Non-Equal Gradable;compare over
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;the same as
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;equal
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;furthest
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;compare over
1;Equative;similar
1;Superlative;smallest
1;Equative;equal
1;Equative;equally
0;Non-Gradable;None
1;Non-Equal Gradable;in comparison
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;equal
0;Non-Gradable;None
1;Superlative;worst
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;the same
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;same as
0;Non-Gradable;None
1;Non-Equal Gradable;lead by
0;Non-Gradable;None
1;Non-Equal Gradable;ahead of
1;Equative;identical
0;Non-Gradable;None
1;Non-Equal Gradable;ahead of
0;Non-Gradable;None
1;Equative;equivalent
1;Superlative;largest
1;Equative;equal
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;largest
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;worst
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;identical
1;Non-Equal Gradable;cannot compare
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;smallest
1;Equative;the same as
0;Non-Gradable;None
1;Equative;equally
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;worst
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;as
0;Non-Gradable;None
1;Superlative;smallest
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
1;Equative;similar
1;Non-Equal Gradable;comapre with
0;Non-Gradable;None
1;Equative;identical
0;Non-Gradable;None
1;Superlative;biggest
0;Non-Gradable;None
1;Equative;the same
1;Non-Equal Gradable;lead by
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;compare to
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;farthest
0;Non-Gradable;None
1;Non-Equal Gradable;lead by
1;Non-Equal Gradable;compare over
0;Non-Gradable;None
1;Equative;the same
0;Non-Gradable;None
1;Superlative;highest
1;Superlative;most
0;Non-Gradable;None
1;Equative;equal to
1;Equative;equivalent
1;Non-Equal Gradable;lead by
1;Equative;equal
1;Equative;alike
1;Superlative;least
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;smallest
1;Non-Equal Gradable;in comparison
1;Non-Equal Gradable;cannot
1;Equative;as
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
1;Equative;like
0;Non-Gradable;None
1;Non-Equal Gradable;cannot compete with
1;Superlative;biggest
1;Superlative;furthest
1;Non-Equal Gradable;cannot compare
1;Equative;equal
1;Equative;match
0;Non-Gradable;None
1;Equative;as
1;Equative;equivalent
1;Non-Equal Gradable;comapre with
1;Equative;similar
1;Equative;identical
1;Superlative;best
0;Non-Gradable;None
1;Equative;equivalent
1;Non-Equal Gradable;cannot
1;Superlative;farthest
1;Equative;alike
0;Non-Gradable;None
1;Non-Equal Gradable;win against
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;cannot compete with
1;Equative;equal to
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;similar
1;Non-Equal Gradable;lead by
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;the same
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;most
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;comapre with
1;Non-Equal Gradable;on par
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;smallest
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;largest
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;compare over
0;Non-Gradable;None
1;Non-Equal Gradable;compare to
0;Non-Gradable;None
1;Non-Equal Gradable;win against
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
1;Equative;like
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;comapre with
1;Superlative;highest
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;the same
0;Non-Gradable;None
1;Equative;match
0;Non-Gradable;None
1;Superlative;most
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;the same as
1;Superlative;largest
1;Equative;on a par
0;Non-Gradable;None
1;Equative;same as
1;Superlative;worst
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;win against
1;Superlative;highest
1;Superlative;worst
1;Non-Equal Gradable;win against
1;Non-Equal Gradable;cannot compete with
1;Equative;equivalent
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;identical
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;win against
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;furthest
0;Non-Gradable;None
1;Equative;same as
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;smallest
1;Superlative;biggest
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
1;Equative;equal
1;Superlative;most
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;highest
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;least
0;Non-Gradable;None
1;Equative;equal
1;Equative;alike
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;match
1;Equative;alike
0;Non-Gradable;None
1;Non-Equal Gradable;in comparison
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;not match
0;Non-Gradable;None
1;Equative;identical
1;Equative;equal to
0;Non-Gradable;None
1;Equative;match
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;highest
1;Superlative;smallest
1;Non-Equal Gradable;not match
1;Equative;the same
1;Non-Equal Gradable;ahead of
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;on a par
0;Non-Gradable;None
1;Superlative;farthest
1;Superlative;biggest
1;Equative;same as
1;Superlative;furthest
1;Equative;the same
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;cannot compare
1;Superlative;worst
1;Equative;similar
1;Non-Equal Gradable;cannot
1;Equative;the same
1;Equative;the same as
1;Superlative;furthest
1;Non-Equal Gradable;blow away
1;Equative;equal
0;Non-Gradable;None
1;Non-Equal Gradable;cannot compare
1;Equative;the same as
1;Non-Equal Gradable;on par
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;identical
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;most
0;Non-Gradable;None
1;Superlative;largest
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;compare to
1;Non-Equal Gradable;on par
1;Non-Equal Gradable;cannot compare
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;best
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
1;Equative;equal
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;alike
0;Non-Gradable;None
1;Equative;the same as
0;Non-Gradable;None
1;Equative;equal to
0;Non-Gradable;None
1;Superlative;least
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;least
0;Non-Gradable;None
1;Superlative;furthest
0;Non-Gradable;None
1;Non-Equal Gradable;cannot compare
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
1;Non-Equal Gradable;edge out
0;Non-Gradable;None
1;Equative;same as
1;Equative;equivalent
1;Non-Equal Gradable;ahead of
1;Non-Equal Gradable;compare to
1;Equative;same as
1;Equative;the same as
1;Equative;equal
0;Non-Gradable;None
1;Equative;on a par
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;smallest
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;alike
1;Equative;equal
0;Non-Gradable;None
1;Superlative;best
0;Non-Gradable;None
1;Equative;identical
1;Equative;like
0;Non-Gradable;None
1;Equative;equal to
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;alike
1;Non-Equal Gradable;compare to
1;Equative;as
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;edge out
0;Non-Gradable;None
1;Non-Equal Gradable;win against
1;Equative;match
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;smallest
1;Non-Equal Gradable;cannot
1;Non-Equal Gradable;edge out
1;Non-Equal Gradable;in comparison
1;Non-Equal Gradable;blow away
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;ahead of
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;on par
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;highest
0;Non-Gradable;None
1;Superlative;furthest
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;on a par
0;Non-Gradable;None
1;Equative;equivalent
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
1;Equative;alike
1;Superlative;highest
1;Equative;equally
1;Superlative;least
1;Equative;like
1;Equative;like
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;as
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;equal to
0;Non-Gradable;None
1;Equative;on a par
0;Non-Gradable;None
1;Equative;on par
1;Equative;equal
0;Non-Gradable;None
1;Non-Equal Gradable;in comparison
0;Non-Gradable;None
1;Equative;equivalent
1;Equative;as
1;Non-Equal Gradable;comapre with
1;Equative;alike
1;Superlative;largest
1;Equative;alike
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;best
0;Non-Gradable;None
1;Non-Equal Gradable;cannot compare
0;Non-Gradable;None
0;Non-Gradable;None
1;Non-Equal Gradable;comapre with
0;Non-Gradable;None
1;Equative;like
0;Non-Gradable;None
1;Equative;alike
0;Non-Gradable;None
1;Non-Equal Gradable;lead by
0;Non-Gradable;None
1;Superlative;largest
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;furthest
1;Equative;same as
1;Non-Equal Gradable;on par
1;Non-Equal Gradable;lead by
1;Superlative;biggest
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;the same as
0;Non-Gradable;None
1;Equative;equally
1;Non-Equal Gradable;comapre with
1;Equative;on a par
0;Non-Gradable;None
0;Non-Gradable;None
1;Superlative;largest
1;Non-Equal Gradable;blow away
0;Non-Gradable;None
1;Equative;equal to
0;Non-Gradable;None
1;Non-Equal Gradable;cannot
1;Superlative;smallest
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;equivalent
0;Non-Gradable;None
1;Non-Equal Gradable;cannot compete with
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
0;Non-Gradable;None
1;Equative;the same
1;Superlative;smallest
0;Non-Gradable;None
1;Superlative;biggest
0;Non-Gradable;None
0;Non-Gradable;None
